sample_uid,split,scene_id,sequence_id,height_m,height_category,scene_category,iou_threshold,gt_instance_id,pred_instance_id,iou_3d,gt_distance_m,pred_distance_m,distance_error_m,centroid_error_m,error_x_m,error_y_m,error_z_m,abs_error_x_m,abs_error_y_m,abs_error_z_m
scene_08_30_000023,test,scene_08,scene_08,30,30,scene_08,0.25,3,3,0.2698412698412698,32.01599540883792,31.695621361551026,-0.3203740472868901,1.1222477577029113,0.6711574952561676,-0.8390891840607217,-0.3239089184060724,0.6711574952561676,0.8390891840607217,0.3239089184060724
scene_08_30_000023,test,scene_08,scene_08,30,30,scene_08,0.25,9,7,0.275609756097561,39.690535771894915,39.41890831279864,-0.2716274590962726,1.896698142946006,-0.13106149084507734,1.8547666762274488,0.37433582226187667,0.13106149084507734,1.8547666762274488,0.37433582226187667
scene_08_30_000024,test,scene_08,scene_08,30,30,scene_08,0.25,1,2,0.27850877192982454,30.48433008290777,29.678942052906752,-0.8053880300010192,0.9769783790169556,-0.000956909183337018,-0.6152926048862213,-0.758881313357854,0.000956909183337018,0.6152926048862213,0.758881313357854
scene_08_30_000024,test,scene_08,scene_08,30,30,scene_08,0.25,4,3,0.28535564853556483,32.69940991705683,32.26827039069863,-0.4311395263582014,1.4186781597140443,-0.7459913379839307,1.19141616378095,-0.19149978899219988,0.7459913379839307,1.19141616378095,0.19149978899219988
scene_08_30_000025,test,scene_08,scene_08,30,30,scene_08,0.25,1,2,0.3434065934065934,30.17286635233564,29.471204604622514,-0.7016617477131248,1.1354084438086278,-0.575109508921571,0.676123755392954,-0.7079958011268488,0.575109508921571,0.676123755392954,0.7079958011268488
scene_08_30_000043,test,scene_08,scene_08,30,30,scene_08,0.25,1,2,0.337479718766901,31.45394008289784,31.73789995858639,0.28395987568854864,3.0527648378840633,3.014964306438337,-0.24531901542447443,-0.41131735557264903,3.014964306438337,0.24531901542447443,0.41131735557264903
scene_08_30_000043,test,scene_08,scene_08,30,30,scene_08,0.25,2,1,0.3877338877338877,32.175486389701994,31.376388512357853,-0.799097877344142,1.552485380240272,1.5034663267697468,0.1184852427026577,-0.36845774166240375,1.5034663267697468,0.1184852427026577,0.36845774166240375
scene_08_30_000044,test,scene_08,scene_08,30,30,scene_08,0.25,1,1,0.3768619662363456,29.876674501361524,29.892966207556753,0.01629170619522924,2.0444531697077926,1.7740677241839364,-0.9835666194188519,-0.2550866094134321,1.7740677241839364,0.9835666194188519,0.2550866094134321
scene_08_30_000044,test,scene_08,scene_08,30,30,scene_08,0.25,2,2,0.305327868852459,30.893315000597443,30.179431368813177,-0.7138836317842667,1.7157803073746527,1.5437921727395434,-0.7323549257759794,-0.15576923076923066,1.5437921727395434,0.7323549257759794,0.15576923076923066
scene_08_30_000044,test,scene_08,scene_08,30,30,scene_08,0.25,3,3,0.2917647058823529,33.3144060542691,32.46147045816305,-0.8529355961060503,1.0655821449613045,0.48838208532722405,0.6847492754599998,-0.6542680461009631,0.48838208532722405,0.6847492754599998,0.6542680461009631
scene_08_30_000045,test,scene_08,scene_08,30,30,scene_08,0.25,1,1,0.2555746140651801,29.981132312320085,28.934548389670272,-1.0465839226498126,2.200095705118039,0.9388396156688827,-1.8733678245873335,-0.6704433469954552,0.9388396156688827,1.8733678245873335,0.6704433469954552
scene_08_30_000045,test,scene_08,scene_08,30,30,scene_08,0.25,2,3,0.30957683741648107,31.028225357858215,30.09680876063862,-0.9314165972195951,0.9523139368946795,0.36062365307648747,0.040066851387607016,-0.8804811540660573,0.36062365307648747,0.040066851387607016,0.8804811540660573
scene_08_30_000046,test,scene_08,scene_08,30,30,scene_08,0.25,1,1,0.25,30.31133967320841,29.10448670231563,-1.206852970892779,1.272855092583546,0.6074793082565151,-0.35724379247695026,-1.059955588452997,0.6074793082565151,0.35724379247695026,1.059955588452997
scene_08_30_000057,test,scene_08,scene_08,30,30,scene_08,0.25,1,1,0.25413223140495866,30.111381776663787,29.11580105140833,-0.9955807252554578,0.99897824964118,0.08532817374610602,-0.2973962083033399,-0.9498590112790986,0.08532817374610602,0.2973962083033399,0.9498590112790986
scene_08_30_000076,test,scene_08,scene_08,30,30,scene_08,0.25,1,1,0.3887147335423197,33.07325480820581,32.52224754345002,-0.5510072647557891,0.713681181197917,-0.4619403161681177,0.3824782279439596,-0.3868622207497161,0.4619403161681177,0.3824782279439596,0.3868622207497161
scene_08_30_000076,test,scene_08,scene_08,30,30,scene_08,0.25,2,2,0.39558232931726905,34.58322892803578,33.373437463858096,-1.209791464177684,3.2128508764039987,3.1801594586960817,-0.3931680733701093,0.23327116701003447,3.1801594586960817,0.3931680733701093,0.23327116701003447
scene_08_30_000076,test,scene_08,scene_08,30,30,scene_08,0.25,6,5,0.3181818181818182,38.335231191431426,37.14646901596257,-1.1887621754688524,1.7529327553036214,-1.5857798474724945,0.6899169872443807,-0.28651364832778015,1.5857798474724945,0.6899169872443807,0.28651364832778015
scene_08_30_000077,test,scene_08,scene_08,30,30,scene_08,0.25,1,1,0.32968536251709984,31.548203089871105,30.832969834374484,-0.7152332554966208,0.921698794911441,-0.7245918958699846,-0.3185981629544514,-0.472218660731226,0.7245918958699846,0.3185981629544514,0.472218660731226
scene_08_30_000077,test,scene_08,scene_08,30,30,scene_08,0.25,3,2,0.2586805555555556,32.886209797645066,32.992356668501685,0.10614687085661956,2.221383149165032,2.1931343576835616,0.3299759179457773,-0.1257802771427592,2.1931343576835616,0.3299759179457773,0.1257802771427592
scene_08_30_000078,test,scene_08,scene_08,30,30,scene_08,0.25,7,4,0.3389830508474576,36.128029697555796,35.83403931277338,-0.29399038478241835,1.1388553212580919,-1.0392907801418403,-0.4645390070921991,0.03270516717325478,1.0392907801418403,0.4645390070921991,0.03270516717325478
scene_08_30_000091,test,scene_08,scene_08,30,30,scene_08,0.25,5,4,0.2569360675512666,36.82241283224574,35.73075391558562,-1.0916589166601156,1.4286617140316455,0.19862025134797534,1.13011460319413,-0.8511552576009151,0.19862025134797534,1.13011460319413,0.8511552576009151
scene_08_30_000092,test,scene_08,scene_08,30,30,scene_08,0.25,1,1,0.2636165577342048,30.557725484751426,29.840222219933693,-0.7175032648177329,0.8591506158319224,-0.22183908045977319,0.33678160919540545,-0.7586206896551708,0.22183908045977319,0.33678160919540545,0.7586206896551708
scene_08_30_000092,test,scene_08,scene_08,30,30,scene_08,0.25,3,3,0.2676518883415435,32.923945723397175,32.95175703376976,0.02781131037258433,0.5125450212727363,0.3939525906863963,0.2773989211659327,0.1747958628198134,0.3939525906863963,0.2773989211659327,0.1747958628198134
scene_08_30_000093,test,scene_08,scene_08,30,30,scene_08,0.25,2,1,0.3265895953757225,29.96941664686284,29.486177667336584,-0.4832389795262557,0.607328613740312,-0.19605868814729632,0.11324909267946737,-0.563545631583608,0.19605868814729632,0.11324909267946737,0.563545631583608
scene_08_30_000093,test,scene_08,scene_08,30,30,scene_08,0.25,3,3,0.3132780082987552,30.75969561879907,30.74976377918344,-0.009931839615632043,0.22462318332969858,0.12765817454469186,-0.1831179597852426,0.02503553005579562,0.12765817454469186,0.1831179597852426,0.02503553005579562
scene_08_30_000093,test,scene_08,scene_08,30,30,scene_08,0.25,6,5,0.2748267898383372,33.616328630359625,33.6622521269456,0.04592349658597783,0.7433739780103714,0.14096613374591271,0.6868594702529727,0.2468957035744026,0.14096613374591271,0.6868594702529727,0.2468957035744026
scene_08_30_000093,test,scene_08,scene_08,30,30,scene_08,0.25,7,6,0.27885714285714286,34.71514577058405,35.06398475790291,0.34883898731885665,1.507840719242104,-0.5847057337711519,1.2751975607115789,0.5527875004510534,0.5847057337711519,1.2751975607115789,0.5527875004510534
scene_08_30_000094,test,scene_08,scene_08,30,30,scene_08,0.25,2,2,0.3048016701461378,30.353095189383012,29.642426866891693,-0.7106683224913191,0.7634032454324362,0.4495259341885145,-0.2268942713727924,-0.5737856213316341,0.4495259341885145,0.2268942713727924,0.5737856213316341
scene_08_30_000094,test,scene_08,scene_08,30,30,scene_08,0.25,4,3,0.30151338766006985,30.708306135262323,30.51307765130008,-0.1952284839622429,0.4674002321990699,0.07553455188629243,0.43316453866333404,-0.15851180074575666,0.07553455188629243,0.43316453866333404,0.15851180074575666
scene_08_30_000094,test,scene_08,scene_08,30,30,scene_08,0.25,6,4,0.4007989347536618,32.12279752020991,32.44219609523408,0.3193985750241737,0.7753239419296711,-0.6316798782928998,0.4216190247417728,0.15602930578909735,0.6316798782928998,0.4216190247417728,0.15602930578909735
scene_08_30_000094,test,scene_08,scene_08,30,30,scene_08,0.25,12,7,0.3394947627849661,42.09760750852603,41.538617847134724,-0.5589896613913083,0.8281868459434499,-0.8200088495679267,0.11598182543521318,0.005211006885481595,0.8200088495679267,0.11598182543521318,0.005211006885481595
scene_08_30_000095,test,scene_08,scene_08,30,30,scene_08,0.25,1,1,0.3194263363754889,29.34788883809115,28.771805174304006,-0.5760836637871449,0.6319379603191144,0.21128465826763687,-0.21265748176526955,-0.5563103219627195,0.21128465826763687,0.21265748176526955,0.5563103219627195
